 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   1.4120062000E-05 -1.3481365000E+01 -1.3481365062E+01  4.5784E-09
   1.4497497000E-05 -1.3838197000E+01 -1.3838197230E+01  1.6625E-08
   1.4882321000E-05 -1.4201727000E+01 -1.4201726388E+01  4.3066E-08
   1.5274681000E-05 -1.4572068000E+01 -1.4572068759E+01  5.2069E-08
   1.5674722000E-05 -1.4949333000E+01 -1.4949332611E+01  2.6009E-08
   1.6082595000E-05 -1.5333634000E+01 -1.5333633800E+01  1.3046E-08
   1.6498455000E-05 -1.5725087000E+01 -1.5725087417E+01  2.6531E-08
   1.6922456000E-05 -1.6123807000E+01 -1.6123806963E+01  2.2649E-09
   1.7354759000E-05 -1.6529910000E+01 -1.6529909448E+01  3.3399E-08
   1.7795527000E-05 -1.6943512000E+01 -1.6943512826E+01  4.8760E-08
   1.8244924000E-05 -1.7364731000E+01 -1.7364730333E+01  3.8426E-08
   1.8703120000E-05 -1.7793683000E+01 -1.7793683155E+01  8.7072E-09
   1.9170287000E-05 -1.8230487000E+01 -1.8230487479E+01  2.6278E-08
   1.9646600000E-05 -1.8675261000E+01 -1.8675260289E+01  3.8083E-08
   2.0132240000E-05 -1.9128122000E+01 -1.9128122513E+01  2.6806E-08
   2.0627388000E-05 -1.9589188000E+01 -1.9589187541E+01  2.3434E-08
   2.1132231000E-05 -2.0058577000E+01 -2.0058577569E+01  2.8388E-08
   2.1646957000E-05 -2.0536406000E+01 -2.0536405590E+01  1.9954E-08
   2.2171762000E-05 -2.1022792000E+01 -2.1022792058E+01  2.7723E-09
   2.2706842000E-05 -2.1517850000E+01 -2.1517850214E+01  9.9414E-09
   2.3252399000E-05 -2.2021696000E+01 -2.2021695486E+01  2.3351E-08
   2.3808637000E-05 -2.2534442000E+01 -2.2534442836E+01  3.7101E-08
   2.4375765000E-05 -2.3056202000E+01 -2.3056201248E+01  3.2613E-08
   2.4953998000E-05 -2.3587085000E+01 -2.3587085073E+01  3.1159E-09
   2.5543552000E-05 -2.4127200000E+01 -2.4127200757E+01  3.1375E-08
   2.6144648000E-05 -2.4676654000E+01 -2.4676652840E+01  4.7026E-08
   2.6757514000E-05 -2.5235549000E+01 -2.5235549946E+01  3.7487E-08
   2.7382379000E-05 -2.5803988000E+01 -2.5803987574E+01  1.6513E-08
   2.8019478000E-05 -2.6382067000E+01 -2.6382067108E+01  4.0926E-09
   2.8669052000E-05 -2.6969881000E+01 -2.6969880831E+01  6.2506E-09
   2.9331343000E-05 -2.7567518000E+01 -2.7567518348E+01  1.2627E-08
   3.0006601000E-05 -2.8175065000E+01 -2.8175064643E+01  1.2655E-08
   3.0695081000E-05 -2.8792602000E+01 -2.8792602160E+01  5.5555E-09
   3.1397040000E-05 -2.9420203000E+01 -2.9420203004E+01  1.4296E-10
   3.2112743000E-05 -3.0057938000E+01 -3.0057938010E+01  3.4268E-10
   3.2842458000E-05 -3.0705868000E+01 -3.0705868024E+01  7.7175E-10
   3.3586461000E-05 -3.1364049000E+01 -3.1364048875E+01  3.9992E-09
   3.4345031000E-05 -3.2032527000E+01 -3.2032527018E+01  5.4776E-10
   3.5118453000E-05 -3.2711341000E+01 -3.2711341108E+01  3.2877E-09
   3.5907018000E-05 -3.3400521000E+01 -3.3400521082E+01  2.4476E-09
   3.6711022000E-05 -3.4100085000E+01 -3.4100084541E+01  1.3474E-08
   3.7530768000E-05 -3.4810041000E+01 -3.4810041678E+01  1.9490E-08
   3.8366564000E-05 -3.5530387000E+01 -3.5530386460E+01  1.5186E-08
   3.9218724000E-05 -3.6261104000E+01 -3.6261104113E+01  3.1044E-09
   4.0087569000E-05 -3.7002163000E+01 -3.7002163190E+01  5.1423E-09
   4.0973424000E-05 -3.7753518000E+01 -3.7753517915E+01  2.2592E-09
   4.1876624000E-05 -3.8515108000E+01 -3.8515107877E+01  3.2015E-09
   4.2797508000E-05 -3.9286853000E+01 -3.9286852997E+01  8.1895E-11
   4.3736422000E-05 -4.0068656000E+01 -4.0068656209E+01  5.2199E-09
