 #  DHFS: self-consistent potential and electron density.     ALPHA = 1.500000E+00
 #  Z =  79,  Aw = 1.969665E+02 g/mol,  number of electrons =  7.900000E+01     (Vext = Vnuc+Vel)
 #      R          R*Vext(R)      R*Vnuc(R)      R*Vel(R)       R*Vex(R)        rho(R)
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1810695E+06
  7.1841346E-06 -6.8831063E+00 -6.8874927E+00  4.3864263E-03 -1.3759216E-03  2.1797792E+06
  7.4257697E-06 -7.1140254E+00 -7.1185594E+00  4.5339617E-03 -1.4221809E-03  2.1796911E+06
  7.6721359E-06 -7.3494053E+00 -7.3540897E+00  4.6843856E-03 -1.4693440E-03  2.1795982E+06
  7.9233256E-06 -7.5893289E+00 -7.5941667E+00  4.8377547E-03 -1.5174284E-03  2.1795005E+06
  8.1794335E-06 -7.8338804E+00 -7.8388745E+00  4.9941267E-03 -1.5664520E-03  2.1793976E+06
  8.4405557E-06 -8.0831452E+00 -8.0882988E+00  5.1535602E-03 -1.6164331E-03  2.1792893E+06
  8.7067905E-06 -8.3372103E+00 -8.3425264E+00  5.3161153E-03 -1.6673901E-03  2.1791754E+06
  8.9782379E-06 -8.5961637E+00 -8.6016456E+00  5.4818531E-03 -1.7193420E-03  2.1790557E+06
  9.2550001E-06 -8.8600951E+00 -8.8657460E+00  5.6508359E-03 -1.7723081E-03  2.1789299E+06
  9.5371810E-06 -9.1290953E+00 -9.1349185E+00  5.8231272E-03 -1.8263081E-03  2.1787977E+06
  9.8248868E-06 -9.4032565E+00 -9.4092553E+00  5.9987918E-03 -1.8813619E-03  2.1786588E+06
  1.0118226E-05 -9.6826723E+00 -9.6888502E+00  6.1778957E-03 -1.9374900E-03  2.1785130E+06
  1.0417308E-05 -9.9674375E+00 -9.9737980E+00  6.3605063E-03 -1.9947131E-03  2.1783600E+06
  1.0722246E-05 -1.0257648E+01 -1.0264195E+01  6.5466922E-03 -2.0530523E-03  2.1781994E+06
  1.1033154E-05 -1.0553402E+01 -1.0560139E+01  6.7365235E-03 -2.1125293E-03  2.1780310E+06
  1.1350150E-05 -1.0854799E+01 -1.0861729E+01  6.9300715E-03 -2.1731661E-03  2.1778544E+06
  1.1673352E-05 -1.1161937E+01 -1.1169064E+01  7.1274089E-03 -2.2349849E-03  2.1776692E+06
  1.2002882E-05 -1.1474919E+01 -1.1482247E+01  7.3286100E-03 -2.2980086E-03  2.1774750E+06
  1.2338864E-05 -1.1793847E+01 -1.1801381E+01  7.5337505E-03 -2.3622604E-03  2.1772716E+06
  1.2681424E-05 -1.2118826E+01 -1.2126569E+01  7.7429073E-03 -2.4277639E-03  2.1770585E+06
