 Inner phase shift
  -7.4436630690042332E-002
 Coulomb phase shift
   6.6559957353976501E-005
 #       R              P(R)            Q(R)
   2.31769038E-03  0.00000000E+00  0.00000000E+00
   2.41407471E-03  0.00000000E+00  0.00000000E+00
   2.51437432E-03  0.00000000E+00  0.00000000E+00
   2.61874404E-03  0.00000000E+00  0.00000000E+00
   2.72734446E-03  0.00000000E+00  0.00000000E+00
   2.84034214E-03  0.00000000E+00  0.00000000E+00
   2.95790978E-03  0.00000000E+00  0.00000000E+00
   3.08022643E-03  0.00000000E+00  0.00000000E+00
   3.20747771E-03  0.00000000E+00  0.00000000E+00
   3.33985595E-03  0.00000000E+00  0.00000000E+00
   3.47756044E-03  0.00000000E+00  0.00000000E+00
   3.62079765E-03  0.00000000E+00  0.00000000E+00
   3.76978138E-03  0.00000000E+00  0.00000000E+00
   3.92473304E-03  0.00000000E+00  0.00000000E+00
   4.08588181E-03  0.00000000E+00  0.00000000E+00
   4.25346488E-03  0.00000000E+00  0.00000000E+00
   4.42772767E-03  0.00000000E+00  0.00000000E+00
   4.60892404E-03  0.00000000E+00  0.00000000E+00
   4.79731649E-03  0.00000000E+00  0.00000000E+00
   4.99317642E-03  0.00000000E+00  0.00000000E+00
   5.19678430E-03  0.00000000E+00  0.00000000E+00
   5.40842990E-03  0.00000000E+00  0.00000000E+00
   5.62841251E-03  0.00000000E+00  0.00000000E+00
   5.85704116E-03  0.00000000E+00  0.00000000E+00
   6.09463477E-03  0.00000000E+00  0.00000000E+00
   6.34152243E-03  0.00000000E+00  0.00000000E+00
   6.59804352E-03  0.00000000E+00  0.00000000E+00
   6.86454796E-03  0.00000000E+00  0.00000000E+00
   7.14139633E-03  0.00000000E+00  0.00000000E+00
   7.42896010E-03  0.00000000E+00  0.00000000E+00
   7.72762175E-03  0.00000000E+00  0.00000000E+00
   8.03777495E-03  0.00000000E+00  0.00000000E+00
   8.35982466E-03  0.00000000E+00  0.00000000E+00
   8.69418732E-03  0.00000000E+00  0.00000000E+00
   9.04129089E-03  0.00000000E+00  0.00000000E+00
   9.40157499E-03  0.00000000E+00  0.00000000E+00
   9.77549096E-03  0.00000000E+00  0.00000000E+00
   1.01635019E-02  0.00000000E+00  0.00000000E+00
   1.05660828E-02  0.00000000E+00  0.00000000E+00
   1.09837204E-02  0.00000000E+00  0.00000000E+00
   1.14169132E-02  0.00000000E+00  0.00000000E+00
   1.18661717E-02  0.00000000E+00  0.00000000E+00
   1.23320179E-02  0.00000000E+00  0.00000000E+00
   1.28149857E-02  0.00000000E+00  0.00000000E+00
   1.33156201E-02  0.00000000E+00  0.00000000E+00
   1.38344779E-02  0.00000000E+00  0.00000000E+00
   1.43721269E-02  0.00000000E+00  0.00000000E+00
   1.49291457E-02  0.00000000E+00  0.00000000E+00
   1.55061238E-02  0.00000000E+00  0.00000000E+00
   1.61036611E-02  0.00000000E+00  0.00000000E+00
   1.67223675E-02  0.00000000E+00  0.00000000E+00
   1.73628626E-02  0.00000000E+00  0.00000000E+00
   1.80257753E-02  0.00000000E+00  0.00000000E+00
   1.87117434E-02  0.00000000E+00  0.00000000E+00
   1.94214131E-02  0.00000000E+00  0.00000000E+00
   2.01554381E-02  0.00000000E+00  0.00000000E+00
   2.09144796E-02  0.00000000E+00  0.00000000E+00
   2.16992055E-02  0.00000000E+00  1.94726138E-98
   2.25102893E-02  0.00000000E+00  1.21991026E-97
   2.33484099E-02  4.77617336E-98  7.58893910E-97
   2.42142508E-02  3.06069206E-97  4.68715043E-96
   2.51084989E-02  1.94664392E-96  2.87366387E-95
   2.60318444E-02  1.22858092E-95  1.74858409E-94
   2.69849790E-02  7.69297154E-95  1.05580691E-93
   2.79685960E-02  4.77837395E-94  6.32489998E-93
   2.89833883E-02  2.94363692E-93  3.75852713E-92
   3.00300486E-02  1.79816245E-92  2.21513551E-91
   3.11092673E-02  1.08902236E-91  1.29456944E-90
   3.22217324E-02  6.53778615E-91  7.50096191E-90
   3.33681277E-02  3.88985934E-90  4.30823741E-89
   3.45491322E-02  2.29334870E-89  2.45243974E-88
   3.57654191E-02  1.33956456E-88  1.38337118E-87
   3.70176542E-02  7.75067751E-88  7.73120359E-87
   3.83064953E-02  4.44144325E-87  4.28006850E-86
   3.96325911E-02  2.52025201E-86  2.34680904E-85
   4.09965795E-02  1.41588288E-85  1.27425842E-84
   4.23990874E-02  7.87414731E-85  6.85047273E-84
   4.38407290E-02  4.33414351E-84  3.64584944E-83
   4.53221047E-02  2.36079781E-83  1.92054920E-82
   4.68438007E-02  1.27234205E-82  1.00123406E-81
   4.84063873E-02  6.78381651E-82  5.16494759E-81
   5.00104182E-02  3.57772396E-81  2.63605707E-80
   5.16564295E-02  1.86612803E-80  1.33089156E-79
   5.33449390E-02  9.62541187E-80  6.64617708E-79
   5.50764450E-02  4.90889860E-79  3.28236631E-78
   5.68514256E-02  2.47503559E-78  1.60300479E-77
   5.86703381E-02  1.23355817E-77  7.74041540E-77
   6.05336181E-02  6.07671950E-77  3.69510516E-76
   6.24416787E-02  2.95844293E-76  1.74371817E-75
   6.43949104E-02  1.42330278E-75  8.13334388E-75
   6.63936799E-02  6.76596530E-75  3.74942180E-74
   6.84383302E-02  3.17776346E-74  1.70813977E-73
   7.05291799E-02  1.47447161E-73  7.68972384E-73
   7.26665228E-02  6.75835153E-73  3.42052947E-72
   7.48506277E-02  3.05987667E-72  1.50328375E-71
   7.70817385E-02  1.36835242E-71  6.52718892E-71
   7.93600735E-02  6.04363008E-71  2.79978286E-70
   8.16858255E-02  2.63621893E-70  1.18635218E-69
   8.40591622E-02  1.13561066E-69  4.96563742E-69
   8.64802255E-02  4.83087038E-69  2.05301559E-68
   8.89491325E-02  2.02934388E-68  8.38401283E-68
   9.14659748E-02  8.41801097E-68  3.38176492E-67
   9.40308194E-02  3.44809266E-67  1.34728287E-66
   9.66437087E-02  1.39462922E-66  5.30142803E-66
   9.93046606E-02  5.56988871E-66  2.06036027E-65
   1.02013670E-01  2.19655676E-65  7.90878584E-65
   1.04770706E-01  8.55360840E-65  2.99844129E-64
   1.07575719E-01  3.28906738E-64  1.12280836E-63
   1.10428633E-01  1.24887977E-63  4.15286510E-63
   1.13329353E-01  4.68277608E-63  1.51716312E-62
   1.16277760E-01  1.73393935E-62  5.47484096E-62
   1.19273717E-01  6.34055563E-62  1.95155284E-61
   1.22317066E-01  2.28981845E-61  6.87188226E-61
   1.25407629E-01  8.16722840E-61  2.39043442E-60
