 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   2.2720695921E-04  1.0994109842E+01  1.0994109861E+01  1.7359E-09
   2.3975676597E-04  1.0993784120E+01  1.0993784121E+01  1.2574E-10
   2.4751713591E-04  1.0993582660E+01  1.0993582660E+01  1.0262E-11
   2.5211728527E-04  1.0993463228E+01  1.0993463228E+01  9.4444E-12
   2.6311983099E-04  1.0993177549E+01  1.0993177550E+01  5.4250E-11
   2.8091277433E-04  1.0992715497E+01  1.0992715497E+01  5.5577E-11
   3.0242448184E-04  1.0992156786E+01  1.0992156786E+01  2.9187E-11
   3.2393618935E-04  1.0991597986E+01  1.0991597987E+01  8.3509E-12
   3.4172913269E-04  1.0991135723E+01  1.0991135723E+01  3.3367E-12
   3.5273167840E-04  1.0990849845E+01  1.0990849845E+01  1.0457E-12
   3.5925226616E-04  1.0990680411E+01  1.0990680411E+01  1.9984E-13
   3.7484564773E-04  1.0990275193E+01  1.0990275193E+01  1.1606E-12
   4.0006273494E-04  1.0989619794E+01  1.0989619794E+01  1.0278E-11
   4.3055024867E-04  1.0988827257E+01  1.0988827257E+01  1.0649E-11
   4.6103776239E-04  1.0988034550E+01  1.0988034550E+01  6.2875E-12
   4.8625484960E-04  1.0987378754E+01  1.0987378754E+01  7.3932E-12
   5.0184823118E-04  1.0986973177E+01  1.0986973177E+01  2.9504E-12
   5.1108666168E-04  1.0986732869E+01  1.0986732869E+01  7.4474E-13
   5.3317464181E-04  1.0986158264E+01  1.0986158264E+01  1.0683E-11
   5.6889457328E-04  1.0985228859E+01  1.0985228859E+01  1.1057E-11
   6.1208004874E-04  1.0984104929E+01  1.0984104929E+01  1.8763E-11
   6.5526552421E-04  1.0982980700E+01  1.0982980700E+01  4.1749E-12
   6.9098545568E-04  1.0982050596E+01  1.0982050596E+01  2.0253E-11
   7.1307343581E-04  1.0981475352E+01  1.0981475351E+01  8.6551E-12
   7.2615387501E-04  1.0981134657E+01  1.0981134657E+01  1.4047E-12
   7.5741789670E-04  1.0980320242E+01  1.0980320242E+01  1.8359E-11
   8.0797701101E-04  1.0979002879E+01  1.0979002879E+01  1.6033E-11
   8.6910309106E-04  1.0977409663E+01  1.0977409663E+01  6.6216E-12
   9.3022917112E-04  1.0975815887E+01  1.0975815887E+01  2.0605E-11
   9.8078828543E-04  1.0974497215E+01  1.0974497216E+01  5.8670E-11
   1.0120523071E-03  1.0973681608E+01  1.0973681608E+01  2.3990E-11
   1.0305552685E-03  1.0973198840E+01  1.0973198841E+01  4.6856E-12
   1.0747604274E-03  1.0972045268E+01  1.0972045269E+01  6.2268E-11
   1.1462475095E-03  1.0970179167E+01  1.0970179167E+01  1.1390E-11
   1.2326755485E-03  1.0967922097E+01  1.0967922098E+01  3.9995E-11
   1.3191035875E-03  1.0965664003E+01  1.0965664003E+01  6.3905E-11
   1.3905906695E-03  1.0963795505E+01  1.0963795507E+01  1.5960E-10
   1.4347958285E-03  1.0962639747E+01  1.0962639747E+01  6.7764E-11
   1.4609348983E-03  1.0961956207E+01  1.0961956207E+01  1.1575E-11
   1.5233447910E-03  1.0960323808E+01  1.0960323809E+01  1.5777E-10
   1.6242719504E-03  1.0957682864E+01  1.0957682863E+01  7.9651E-11
   1.7462931073E-03  1.0954488199E+01  1.0954488200E+01  8.1352E-11
   1.8683142643E-03  1.0951291644E+01  1.0951291642E+01  1.7358E-10
   1.9692414236E-03  1.0948646283E+01  1.0948646287E+01  4.4747E-10
   2.0316513163E-03  1.0947009856E+01  1.0947009854E+01  1.8714E-10
   2.0685100148E-03  1.0946043167E+01  1.0946043167E+01  3.2710E-11
   2.1564379906E-03  1.0943736408E+01  1.0943736413E+01  4.5054E-10
   2.2986321275E-03  1.0940004045E+01  1.0940004043E+01  1.9411E-10
   2.4705451507E-03  1.0935488445E+01  1.0935488448E+01  2.2266E-10
   2.6424581740E-03  1.0930969453E+01  1.0930969448E+01  4.9931E-10
   2.7846523109E-03  1.0927229154E+01  1.0927229168E+01  1.2209E-09
   2.8725802867E-03  1.0924915163E+01  1.0924915157E+01  5.1317E-10
   2.9244215324E-03  1.0923550440E+01  1.0923550441E+01  8.5518E-11
   3.0479416734E-03  1.0920297543E+01  1.0920297557E+01  1.2163E-09
   3.2476942514E-03  1.0915033617E+01  1.0915033610E+01  5.8424E-10
   3.4891955561E-03  1.0908663957E+01  1.0908663963E+01  5.8305E-10
   3.7306968608E-03  1.0902288389E+01  1.0902288375E+01  1.3391E-09
   3.9304494388E-03  1.0897010646E+01  1.0897010682E+01  3.3080E-09
   4.0539695798E-03  1.0893745157E+01  1.0893745142E+01  1.3801E-09
   4.1266248631E-03  1.0891823636E+01  1.0891823638E+01  2.2402E-10
   4.2994483499E-03  1.0887250849E+01  1.0887250885E+01  3.3033E-09
   4.5789326245E-03  1.0879850121E+01  1.0879850104E+01  1.5540E-09
   4.9168297252E-03  1.0870893424E+01  1.0870893441E+01  1.5378E-09
   5.2547268259E-03  1.0861927077E+01  1.0861927038E+01  3.5803E-09
   5.5342111005E-03  1.0854503776E+01  1.0854503871E+01  8.7494E-09
   5.7070345873E-03  1.0849910412E+01  1.0849910373E+01  3.6304E-09
   5.8083652629E-03  1.0847215972E+01  1.0847215978E+01  5.5960E-10
   6.0488455122E-03  1.0840818045E+01  1.0840818140E+01  8.7270E-09
   6.4377420058E-03  1.0830462666E+01  1.0830462621E+01  4.1421E-09
   6.9079187193E-03  1.0817929142E+01  1.0817929185E+01  3.9964E-09
   7.3780954327E-03  1.0805381481E+01  1.0805381381E+01  9.1881E-09
   7.7669919264E-03  1.0794993026E+01  1.0794993269E+01  2.2521E-08
   8.0074721756E-03  1.0788564938E+01  1.0788564838E+01  9.2511E-09
   8.1478652447E-03  1.0784810312E+01  1.0784810327E+01  1.3340E-09
   8.4800149478E-03  1.0775922461E+01  1.0775922703E+01  2.2484E-08
   9.0171561696E-03  1.0761537877E+01  1.0761537763E+01  1.0537E-08
   9.6665610843E-03  1.0744129804E+01  1.0744129912E+01  1.0068E-08
   1.0315965999E-02  1.0726705370E+01  1.0726705126E+01  2.2757E-08
   1.0853107221E-02  1.0712282473E+01  1.0712283070E+01  5.5744E-08
   1.1185256924E-02  1.0703359644E+01  1.0703359402E+01  2.2612E-08
   1.1378067195E-02  1.0698177553E+01  1.0698177585E+01  2.9512E-09
   1.1832344749E-02  1.0685962359E+01  1.0685962954E+01  5.5693E-08
   1.2566986986E-02  1.0666199109E+01  1.0666198834E+01  2.5801E-08
   1.3455171060E-02  1.0642293990E+01  1.0642294249E+01  2.4340E-08
   1.4343355134E-02  1.0618381526E+01  1.0618380959E+01  5.3425E-08
   1.5077997370E-02  1.0598600948E+01  1.0598602338E+01  1.3117E-07
   1.5532274925E-02  1.0586369768E+01  1.0586369214E+01  5.2319E-08
   1.5794057190E-02  1.0579319266E+01  1.0579319328E+01  5.8980E-09
   1.6407527260E-02  1.0562793746E+01  1.0562795131E+01  1.3120E-07
   1.7399610228E-02  1.0536077576E+01  1.0536076946E+01  5.9787E-08
   1.8599040711E-02  1.0503799220E+01  1.0503799802E+01  5.5483E-08
   1.9798471194E-02  1.0471554209E+01  1.0471552978E+01  1.1756E-07
   2.0790554161E-02  1.0444915596E+01  1.0444918615E+01  2.8906E-07
   2.1404024232E-02  1.0428460217E+01  1.0428459039E+01  1.1288E-07
   2.1754335306E-02  1.0419064439E+01  1.0419064544E+01  1.0146E-08
   2.2569700828E-02  1.0397203595E+01  1.0397206605E+01  2.8942E-07
   2.3888282264E-02  1.0361912138E+01  1.0361910794E+01  1.2977E-07
   2.5482450111E-02  1.0319358971E+01  1.0319360182E+01  1.1730E-07
   2.7076617958E-02  1.0276947243E+01  1.0276944793E+01  2.3845E-07
   2.8395199394E-02  1.0241985518E+01  1.0241991530E+01  5.8696E-07
   2.9210564916E-02  1.0220423851E+01  1.0220421568E+01  2.2340E-07
   2.9671107480E-02  1.0208254385E+01  1.0208254525E+01  1.3751E-08
   3.0734185586E-02  1.0180199700E+01  1.0180205689E+01  5.8829E-07
   3.2453359404E-02  1.0135007300E+01  1.0135004664E+01  2.6004E-07
   3.4531844319E-02  1.0080679768E+01  1.0080682040E+01  2.2546E-07
   3.6610329234E-02  1.0026713604E+01  1.0026709199E+01  4.3931E-07
   3.8329503052E-02  9.9823641628E+00  9.9823749431E+00  1.0799E-06
   3.9392581159E-02  9.9550749667E+00  9.9550709952E+00  3.9895E-07
   3.9985576680E-02  9.9398790129E+00  9.9398791227E+00  1.1051E-08
   4.1341186327E-02  9.9052282506E+00  9.9052389785E+00  1.0831E-06
   4.3533432219E-02  9.8495683541E+00  9.8495636789E+00  4.7467E-07
   4.6183862309E-02  9.7829142260E+00  9.7829180076E+00  3.8655E-07
   4.8834292399E-02  9.7169785510E+00  9.7169715045E+00  7.2517E-07
   5.1026538291E-02  9.6629952649E+00  9.6630123968E+00  1.7729E-06
   5.2382147938E-02  9.6298678825E+00  9.6298617797E+00  6.3374E-07
   5.3128091137E-02  9.6116917720E+00  9.6116917050E+00  6.9706E-09
   5.4815006462E-02  9.5707486184E+00  9.5707656381E+00  1.7783E-06
   5.7543028646E-02  9.5051859619E+00  9.5051785556E+00  7.7918E-07
   6.0841213449E-02  9.4269963275E+00  9.4270018046E+00  5.8100E-07
   6.4139398251E-02  9.3499838854E+00  9.3499739493E+00  1.0627E-06
   6.6867420435E-02  9.2871697512E+00  9.2871935922E+00  2.5671E-06
   6.8554335760E-02  9.2487256165E+00  9.2487174172E+00  8.8653E-07
   6.9469608465E-02  9.2279513583E+00  9.2279509226E+00  4.7219E-08
   7.1515872909E-02  9.1817484020E+00  9.1817720334E+00  2.5737E-06
   7.4825022289E-02  9.1079677017E+00  9.1079573330E+00  1.1384E-06
   7.8825791144E-02  9.0202879626E+00  9.0202947894E+00  7.5683E-07
   8.2826559999E-02  8.9342347845E+00  8.9342224803E+00  1.3772E-06
   8.6135709378E-02  8.8642544776E+00  8.8642833770E+00  3.2602E-06
   8.8181973823E-02  8.8215101996E+00  8.8215006029E+00  1.0879E-06
   8.9276978211E-02  8.7987497301E+00  8.7987487964E+00  1.0612E-07
   9.1696976343E-02  8.7487543480E+00  8.7487829206E+00  3.2659E-06
   9.5610515152E-02  8.6690586337E+00  8.6690458779E+00  1.4714E-06
   1.0034199215E-01  8.5745506725E+00  8.5745579770E+00  8.5189E-07
